,inchikey,hmdb,kegg,smiles
C15587_Purine,KDCGOANMDULRCW-UHFFFAOYSA-N,HMDB0001366,C15587,C1=C2C(=NC=N1)N=CN2
C00212_Adenosine,OIRDTQYFTABQOQ-KQYNXXCUSA-N,HMDB0000050,C00212,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
-_2-Oxooctanoate,GPPUPQFYDYLTIY-UHFFFAOYSA-N,HMDB0013211,,CCCCCCC(=O)C(=O)O
C02703_Serine O-sulfate,LFZGUGJDVUUGLK-REOHCLBHSA-N,,C02703,C([C@@H](C(=O)O)N)OS(=O)(=O)O
C00842_TDP-glucose,YSYKRGRSMLTJNL-URARBOGNSA-N,HMDB0001328,C00842,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O
C00166_Phenylpyruvate,BTNMPGBKDVTSJY-UHFFFAOYSA-N,HMDB0000205,C00166,C1=CC=C(C=C1)CC(=O)C(=O)O
C00318_Carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N,HMDB0000062,C00318,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
C02571_o-Acetylcarnitine,RDHQFKQIGNGIED-MRVPVSSYSA-O,HMDB0000201,C02571,CC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C
C00365_dUMP,JSRLJPSBLDHEIO-SHYZEUOFSA-N,HMDB0001409,C00365,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O
C00440_5-Methyltetrahydrofolate,ZNOVTXRBGFNYRX-ABLWVSNPSA-N,HMDB0001396,C00440,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
C00459_dTTP,NHVNXKFIZYSCEB-XLPZGREQSA-N,HMDB0001342,C00459,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
C02009_Benzimidazole,HYZJCKYKOHLVJF-UHFFFAOYSA-N,,C02009,C1=CC=C2C(=C1)NC=N2
C02997_N-Acetylhistidine,KBOJOGQFRVVWBH-ZETCQYMHSA-N,HMDB0032055,C02997,CC(=O)N[C@@H](CC1=CN=CN1)C(=O)O
C03510_Methionine sulfoximine,SXTAYKAGBXMACB-DPVSGNNYSA-N,HMDB0029430,C03510,CS(=N)(=O)CC[C@@H](C(=O)O)N
C00153_Nicotinamide,DFPAKSUCGFBDDF-UHFFFAOYSA-N,HMDB0001406,C00153,C1=CC(=CN=C1)C(=O)N
C06213_N-omega-Methyltryptamine,NCIKQJBVUNUXLW-UHFFFAOYSA-N,HMDB0004370,C06213,CNCCC1=CNC2=CC=CC=C21
C11145_Methanesulfonate,AFVFQIVMOAPDHO-UHFFFAOYSA-N,HMDB0240280,C11145,CS(=O)(=O)O
C00074_PEP,DTBNBXWJWCWCIK-UHFFFAOYSA-N,HMDB0000263,C00074,C=C(C(=O)O)OP(=O)(O)O
C00307_CDP-choline,RZZPDXZPRHQOCG-OJAKKHQRSA-N,HMDB0001413,C00307,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O
C00180_Benzoate,WPYMKLBDIGXBTP-UHFFFAOYSA-N,HMDB0013677,C00180,C1=CC=C(C=C1)C(=O)O
"C00968_3',5'-Cyclic dAMP",MKMZAENVDZADSW-RRKCRQDMSA-N,,C00968,C1[C@H]2[C@@H](COP(=O)(O2)O)O[C@H]1N3C=NC4=C(N=CN=C43)N
C05135_4-(beta-Acetylaminoethyl)imidazole,XJWPISBUKWZALE-UHFFFAOYSA-N,HMDB0013253,C05135,CC(=O)NCCC1=CN=CN1
C00360_dAMP,KHWCHTKSEGGWEX-RRKCRQDMSA-N,HMDB0000905,C00360,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O
C01678_Cysteamine,UFULAYFCSOUIOV-UHFFFAOYSA-N,HMDB0002991,C01678,C(CS)N
C01425_Glu-Glu,KOSRFJWDECSPRO-WDSKDSINSA-N,HMDB0028818,C01425,C(CC(=O)O)[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)O)N
C06423_Octanoate,WWZKQHOCKIZLMA-UHFFFAOYSA-N,HMDB0000482,C06423,CCCCCCCC(=O)O
C02640_Isoamylamine,BMFVGAAISNGQNM-UHFFFAOYSA-N,HMDB0031659,C02640,CC(C)CCN
